id,nazov_piva,pivovar,pivovar_id_1,pivovar_id_2,sezonnost,skupina_piv,styl,kategoria1,kategoria2,kategoria3,podkategoria
175,světlý ležák 12° (třírmutový),Beer Factory,374,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
176,White IPA,Beer Factory,374,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ) Belgian Witbier,Ale,Wheat,NULL,"Belgian, IPA, Witbier"
177,Pardubickej Lajf,Beer Poets,343,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
178,11° Polotmavý,Beeranek,2,NULL,Neuvedené,Neuvedené,polotmavý ležák,Lager,NULL,NULL,Polotmavý
179,11° Světlý,Beeranek,2,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
180,13° Diablo Negro,Beeranek,2,NULL,Neuvedené,Neuvedené,tmavý speciál,Lager,Dark,Special,NULL
181,13° Special,Beeranek,2,NULL,Neuvedené,Neuvedené,světlý speciál,Lager,Special,NULL,NULL
183,JZP Sour,Beergeek,819,NULL,Neuvedené,chilli pivo ( ochucené pivo ),Sour Ale,Ale,Sour,NULL,NULL
184,Mild Ale,Beergeek,819,NULL,"domovarnictví , jednorázová várka",Neuvedené,"Dark Mild ( Mild Ale , Ale )",Ale,Dark,NULL,Mild
185,Lady Madeline,Beerius,433,NULL,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
186,BeerLab Episode IV: Dry Hope,Sibeeria,507,NULL,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
